time,Alt,Mach,heat_load,Wgt_On_Whl,Aircraft_state
190.0,6333.333333333333,0.7599999999999999,4000.0,0.0,4.0
192.0,6400.0,0.768,4000.0,0.0,4.0
194.0,6466.666666666666,0.7759999999999999,4000.0,0.0,4.0
196.0,6533.333333333333,0.7839999999999999,4000.0,0.0,4.0
198.0,6600.0,0.792,4000.0,0.0,4.0
200.0,6666.666666666666,0.7999999999999999,4000.0,0.0,4.0
202.0,6733.333333333333,0.8079999999999999,4000.0,0.0,4.0
204.0,6800.000000000001,0.8160000000000001,4000.0,0.0,4.0
206.0,6866.666666666666,0.824,4000.0,0.0,4.0
208.0,6933.333333333334,0.832,4000.0,0.0,4.0
210.0,7000.0,0.84,4000.0,0.0,4.0
212.0,7066.666666666667,0.848,4000.0,0.0,4.0
214.0,7133.333333333334,0.856,4000.0,0.0,4.0
216.0,7200.0,0.864,4000.0,0.0,4.0
218.0,7266.666666666667,0.872,4000.0,0.0,4.0
220.0,7333.333333333333,0.8799999999999999,4000.0,0.0,4.0
222.0,7400.0,0.888,4000.0,0.0,4.0
224.0,7466.666666666667,0.896,4000.0,0.0,4.0
226.0,7533.333333333333,0.9039999999999999,4000.0,0.0,4.0
228.0,7600.0,0.9119999999999999,4000.0,0.0,4.0
230.0,7666.666666666667,0.92,4000.0,0.0,4.0
232.0,7733.333333333333,0.9279999999999999,4000.0,0.0,4.0
234.0,7800.0,0.9359999999999999,4000.0,0.0,4.0
236.0,7866.666666666666,0.944,4000.0,0.0,4.0
238.0,7933.333333333333,0.952,4000.0,0.0,4.0
240.0,8000.0,0.96,4000.0,0.0,4.0
242.0,8066.666666666666,0.968,4000.0,0.0,4.0
244.0,8133.333333333334,0.976,4000.0,0.0,4.0
246.0,8200.0,0.9839999999999999,4000.0,0.0,4.0
248.0,8266.666666666666,0.992,4000.0,0.0,4.0
250.0,8333.333333333334,1.0,4000.0,0.0,4.0
252.0,8400.0,1.008,4000.0,0.0,4.0
254.0,8466.666666666666,1.016,4000.0,0.0,4.0
256.0,8533.333333333334,1.024,4000.0,0.0,4.0
258.0,8600.0,1.032,4000.0,0.0,4.0
260.0,8666.666666666666,1.04,4000.0,0.0,4.0
262.0,8733.333333333332,1.0479999999999998,4000.0,0.0,4.0
264.0,8800.0,1.056,4000.0,0.0,4.0
266.0,8866.666666666668,1.064,4000.0,0.0,4.0
268.0,8933.333333333334,1.0719999999999998,4000.0,0.0,4.0
270.0,9000.0,1.08,4000.0,0.0,4.0
272.0,9066.666666666666,1.0879999999999999,4000.0,0.0,4.0
274.0,9133.333333333334,1.0959999999999999,4000.0,0.0,4.0
276.0,9200.0,1.104,4000.0,0.0,4.0
278.0,9266.666666666666,1.1119999999999999,4000.0,0.0,4.0
280.0,9333.333333333334,1.1199999999999999,4000.0,0.0,4.0
282.0,9400.0,1.128,4000.0,0.0,4.0
284.0,9466.666666666666,1.136,4000.0,0.0,4.0
286.0,9533.333333333334,1.144,4000.0,0.0,4.0
288.0,9600.0,1.152,4000.0,0.0,4.0
290.0,9666.666666666666,1.16,4000.0,0.0,4.0
292.0,9733.333333333334,1.168,4000.0,0.0,4.0
294.0,9800.0,1.176,4000.0,0.0,4.0
296.0,9866.666666666666,1.184,4000.0,0.0,4.0
298.0,9933.333333333332,1.192,4000.0,0.0,4.0
300.0,10000.0,1.2,4000.0,0.0,4.0
302.0,10000.0,1.2,4000.0,0.0,4.0
304.0,10000.0,1.2,4000.0,0.0,4.0
306.0,10000.0,1.2,4000.0,0.0,4.0
308.0,10000.0,1.2,4000.0,0.0,4.0
310.0,10000.0,1.2,4000.0,0.0,4.0
312.0,10000.0,1.2,4000.0,0.0,4.0
314.0,10000.0,1.2,4000.0,0.0,4.0
